exp,yco,p_bar,t_c,s_box,n_moves,n_equil,n_prod
249,0.6,19.970000000000002,26.83200000000005,34,1000,1000000,100000
250,0.6,9.98,26.833000000000027,34,1000,1000000,100000
251,0.6,130,51.82900000000001,34,1000,1000000,100000
252,0.6,120.28,51.82900000000001,34,1000,1000000,100000
253,0.6,110,51.82900000000001,34,1000,1000000,100000
254,0.6,100.12,51.82900000000001,34,1000,1000000,100000
255,0.6,89.97,51.82800000000003,34,1000,1000000,100000
256,0.6,79.97,51.82900000000001,34,1000,1000000,100000
257,0.6,69.99,51.82900000000001,34,1000,1000000,100000
258,0.6,60,51.82900000000001,34,1000,1000000,100000
259,0.6,50.06999999999999,51.82800000000003,34,1000,1000000,100000
260,0.6,39.99,51.82800000000003,34,1000,1000000,100000
261,0.6,29.980000000000004,51.82800000000003,34,1000,1000000,100000
262,0.6,19.98,51.82900000000001,34,1000,1000000,100000
263,0.6,9.98,51.82900000000001,34,1000,1000000,100000
264,0.6,175.45000000000002,76.81700000000001,34,1000,1000000,100000
265,0.6,169.98999999999998,76.81600000000003,34,1000,1000000,100000
266,0.6,160.13000000000002,76.81700000000001,34,1000,1000000,100000
267,0.6,150.03,76.81700000000001,34,1000,1000000,100000
268,0.6,140,76.81400000000002,34,1000,1000000,100000
269,0.6,129.99,76.815,34,1000,1000000,100000
270,0.6,119.97,76.81400000000002,34,1000,1000000,100000
271,0.6,109.97,76.81400000000002,34,1000,1000000,100000
272,0.6,100.06,76.81400000000002,34,1000,1000000,100000
273,0.6,89.9,76.81400000000002,34,1000,1000000,100000
274,0.6,79.95,76.815,34,1000,1000000,100000
275,0.6,69.98,76.815,34,1000,1000000,100000
276,0.6,59.989999999999995,76.815,34,1000,1000000,100000
277,0.6,49.980000000000004,76.815,34,1000,1000000,100000
278,0.6,39.99,76.81400000000002,34,1000,1000000,100000
279,0.6,29.980000000000004,76.815,34,1000,1000000,100000
280,0.6,19.9,76.81400000000002,34,1000,1000000,100000
281,0.6,9.98,76.815,34,1000,1000000,100000
282,0.6,195.32,101.80100000000004,34,1000,1000000,100000
283,0.6,179.94,101.79900000000004,34,1000,1000000,100000
284,0.6,159.92000000000002,101.80100000000004,34,1000,1000000,100000
285,0.6,139.86,101.80000000000001,34,1000,1000000,100000
286,0.6,120.10999999999999,101.79900000000004,34,1000,1000000,100000
287,0.6,110.00999999999999,101.79900000000004,34,1000,1000000,100000
288,0.6,99.99000000000001,101.80000000000001,34,1000,1000000,100000
289,0.6,90.02000000000001,101.79900000000004,34,1000,1000000,100000
290,0.6,79.97,101.79900000000004,34,1000,1000000,100000
291,0.6,69.97,101.79700000000003,34,1000,1000000,100000
292,0.6,59.980000000000004,101.79700000000003,34,1000,1000000,100000
293,0.6,49.980000000000004,101.79600000000005,34,1000,1000000,100000
294,0.6,39.980000000000004,101.79900000000004,34,1000,1000000,100000
295,0.6,29.92,101.798,34,1000,1000000,100000
296,0.6,19.86,101.798,34,1000,1000000,100000
297,0.6,194.95999999999998,126.86100000000005,34,1000,1000000,100000
298,0.6,189.83,126.86200000000002,34,1000,1000000,100000
299,0.6,179.85,126.86200000000002,34,1000,1000000,100000
300,0.6,169.82,126.86100000000005,34,1000,1000000,100000
301,0.6,159.9,126.86200000000002,34,1000,1000000,100000
302,0.6,149.92000000000002,126.86200000000002,34,1000,1000000,100000
303,0.6,139.92000000000002,126.86100000000005,34,1000,1000000,100000
304,0.6,130.07999999999998,126.86100000000005,34,1000,1000000,100000
305,0.6,119.96000000000001,126.86200000000002,34,1000,1000000,100000
306,0.6,109.88,126.86100000000005,34,1000,1000000,100000
307,0.6,89.93,126.86200000000002,34,1000,1000000,100000
308,0.6,79.95,126.86200000000002,34,1000,1000000,100000
309,0.6,61.11,126.86100000000005,34,1000,1000000,100000
310,0.6,49.96000000000001,126.86200000000002,34,1000,1000000,100000
311,0.6,39.96,126.86200000000002,34,1000,1000000,100000
312,0.6,29.950000000000003,126.86100000000005,34,1000,1000000,100000
313,0.6,19.84,126.86200000000002,34,1000,1000000,100000
314,0.6,9.93,126.86100000000005,34,1000,1000000,100000
