exp,yco,p_bar,t_c,s_box,n_moves,n_equil,n_prod
444,0.3,100,60,34,1000,1000000,100000
445,0.4,100,60,34,1000,1000000,100000
446,0.5,100,60,34,1000,1000000,100000
447,0.6,100,60,34,1000,1000000,100000
448,0.7,100,60,34,1000,1000000,100000
449,0.8,100,60,34,1000,1000000,100000
450,0.9,100,60,34,1000,1000000,100000
451,0.1,110,60,34,1000,1000000,100000
452,0.2,110,60,34,1000,1000000,100000
453,0.3,110,60,34,1000,1000000,100000
454,0.4,110,60,34,1000,1000000,100000
455,0.5,110,60,34,1000,1000000,100000
456,0.6,110,60,34,1000,1000000,100000
457,0.7,110,60,34,1000,1000000,100000
458,0.8,110,60,34,1000,1000000,100000
459,0.9,110,60,34,1000,1000000,100000
460,0.1,120,60,34,1000,1000000,100000
461,0.2,120,60,34,1000,1000000,100000
462,0.3,120,60,34,1000,1000000,100000
463,0.4,120,60,34,1000,1000000,100000
464,0.5,120,60,34,1000,1000000,100000
465,0.6,120,60,34,1000,1000000,100000
466,0.7,120,60,34,1000,1000000,100000
467,0.8,120,60,34,1000,1000000,100000
468,0.9,120,60,34,1000,1000000,100000
469,0.1,130,60,34,1000,1000000,100000
470,0.2,130,60,34,1000,1000000,100000
471,0.3,130,60,34,1000,1000000,100000
472,0.4,130,60,34,1000,1000000,100000
473,0.5,130,60,34,1000,1000000,100000
474,0.6,130,60,34,1000,1000000,100000
475,0.7,130,60,34,1000,1000000,100000
476,0.8,130,60,34,1000,1000000,100000
477,0.9,130,60,34,1000,1000000,100000
478,0.1,140,60,34,1000,1000000,100000
479,0.2,140,60,34,1000,1000000,100000
480,0.3,140,60,34,1000,1000000,100000
481,0.4,140,60,34,1000,1000000,100000
482,0.5,140,60,34,1000,1000000,100000
483,0.6,140,60,34,1000,1000000,100000
484,0.7,140,60,34,1000,1000000,100000
485,0.8,140,60,34,1000,1000000,100000
486,0.9,140,60,34,1000,1000000,100000
487,0.1,150,60,34,1000,1000000,100000
